Data,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Data analyst,,Analytical and problem-solving skills,Communication skills,Data management,"Data modelling, data cleansing, and data enrichment skills",Data visualisation,Logical and creative thinking skills,Project management skills,Proven IT and mathematical skills,"Quality assurance, validation and data linkage abilities",Statistical methods and data analysis skills,,,,,,,"A data analyst collects, organises and studies data to provide business insight. In this role, you will:

• apply tools and techniques for data analysis and data visualisation (including the use of business information tools)
• identify, collect and migrate data to and from a range of systems
• manage, clean, abstract and aggregate data alongside a range of analytical studies on that data
,,Senior business relationship manager,Awareness,Practitioner,Working,Practitioner,Practitioner,Working,Working,Working,Working,Practitioner,Practitioner,,,,,,"A senior business relationship manager is responsible for managing the directorate’s communication plan and its delivery. At this level, you will be expected to:

• attend business meetings and management forums
• provide communications and information for all related digital and technology activities",,5,,AUTY(5),INFL(5),COMP(5),KNGE(5),BUSS(5)
,,Lead business relationship manager,Awareness,Expert,Practitioner,Practitioner,Expert,Practitioner,Working,Practitioner,Practitioner,Practitioner,Expert,,,,,,"A lead business relationship manager leads engagement with directors, corporate senior leaders, service managers and external stakeholders to ensure their complex needs are understood, prioritised and incorporated into directorate plans and that progress is communicated throughout the delivery process. At this level, you:

• are responsible for ensuring that strategic demand - such as the spending review and services strategy commitments - are met and communicated to the appropriate IT operations functions
• make a positive impact on the business through reduction of costs arising from service issues, increased efficiency and improved communication through better understanding of users’ needs and championing departmental commitment to continual improvement",,6,,AUTY(6),INFL(6),COMP(6),KNGE(6),BUSS(6)
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Change and release manager,,Asset and configuration management,Availability and capacity management,Change management,Community collaboration,Continual service improvement,Continuity management,Incident management,Ownership and initiative,Problem management,Service focus,Service Management Framework knowledge,Technical understanding,User focus,,,,"Change and release managers lead the change advisory board, ensuring adequate risk assessment and scheduling of technical changes and releases. In this role, you also own the configuration management database and the access, security, configuration of change activities and release procedures.",,,,,,,,
,,Configuration analyst,Working,Awareness,Awareness,Working,Awareness,Awareness,Awareness,Awareness,Awareness,Awareness,Awareness,Awareness,Awareness,,,,"A configuration analyst provides administrative support to the change and release manager, helping maintaining the integrity of the configuration management database (CMDB) and independently solving smaller problems.",,3,,AUTY(3),INFL(3),COMP(3),KNGE(3),BUSS(3)
,,Change and release analyst,Working,Awareness,Working,Working,Awareness,Awareness,Awareness,Awareness,Awareness,Awareness,Awareness,Awareness,Awareness,,,,"A change and release analyst plans and rolls out software, and designs and carries out procedures for the distribution and installation of changes to systems and services. At this level, you will be expected to:

• undertake analysis after release and set the plan for upcoming changes
• liaise with DevOps and service designers",,4,,AUTY(4),INFL(4),COMP(4),KNGE(4),BUSS(4)
,,Change and release manager,Expert,Working,Expert,Practitioner,Working,Awareness,Working,Working,Working,Working,Awareness,Working,Working,,,,"A change and release manager makes sure that technical changes to IT services are adequately assessed for impact, prioritised, scheduled, authorised and implemented, in line with processes and using appropriate tools, including chairing the Change advisory Board (CAB). At this level, you will:

• provide an escalation point
• make decisions for all technical changes
• coordinate releases and interdependencies",,5,,AUTY(5),INFL(5),COMP(5),KNGE(5),BUSS(5)
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Command and control centre manager,,Asset and configuration management,Availability and capacity management,Change management,Community collaboration,Continual service improvement,Continuity management,Incident management,Ownership and initiative,Problem management,Service focus,Service Management Framework knowledge,Technical understanding,User focus,,,,Command and control centre managers proactively monitor live services and performance trends to identify potential problems or areas for improvement that can then be investigated.,,,,,,,,
,,Operations analyst,Awareness,Working,Awareness,Working,Working,Awareness,Awareness,Working,Awareness,Working,Awareness,Awareness,Working,,,,An operations analyst provides administrative support to their manager and alerts support staff if necessary.,,3,,AUTY(3),INFL(3),COMP(3),KNGE(3),BUSS(3)
,,Senior operations analyst,Working,Working,Working,Working,Working,Awareness,Working,Working,Working,Working,Awareness,Working,Working,,,,"A senior operations analyst prioritises incoming messages for the team and ensures correct information flow, record keeping and data capture. At this level, you will be expected to:

• detect notifications and conduct monitor checks to make sure that systems are running correctly
• n emergencies, be on call outside your working hours to check events that have been logged as not functioning
• in some organisations, you will also oversee the virtual environment",,4,,AUTY(4),INFL(4),COMP(4),KNGE(4),BUSS(4)
,,Operational control manager,Working,Working,Practitioner,Practitioner,Practitioner,Working,Practitioner,Practitioner,Working,Practitioner,Working,Practitioner,Practitioner,,,,"An operational control manager is accountable for day-to-day IT operations, acting as the escalation point for incidents and problems. At this level, you will:

• be responsible for effective change management processes that maintain the availability of services using proactive and preventative measures
• be on call 24/7 or according to business requirements
• be allowed to address issues across IT operations",,5,,AUTY(5),INFL(5),COMP(5),KNGE(5),BUSS(5)
,,Head of command and control,Practitioner,Practitioner,Practitioner,Practitioner,Practitioner,Working,Practitioner,Practitioner,Practitioner,Practitioner,Practitioner,Expert,,,,,"A head of command and control is responsible for the strategy roadmap, integration and building the capability of the team. At this level, you will make sure all tools are fit for purpose and meet business requirements. You may also be required to address issues across IT operations.",,6,,AUTY(6),INFL(6),COMP(6),KNGE(6),BUSS(6)
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,End user computing engineer,,Asset and configuration management,Change management,Continual service improvement,Incident management,Ownership and initiative,Problem management,Service focus,Service Management Framework knowledge,Service reporting,Technical specialism,Technical understanding,Testing,User focus,,,,"An end user computing engineer is responsible for managing the product life cycle of all service-raised incidents (incident control) and all service requests (request control), requiring the use of knowledge management. In this role, you will also be responsible for informing customers on progress and advising on workarounds where necessary, as well as the support and maintenance of end user services.",,,,,,,,
,,Associate end user computing engineer,Awareness,Awareness,Awareness,Awareness,Awareness,,,,,,,,,,,,"As a trainee, you will work in an established team and support end user computing engineers in their daily work, working to their direction.",,2,,AUTY(2),INFL(2),COMP(2),KNGE(2),BUSS(2)
,,End user computing engineer,Working,Awareness,Awareness,Awareness,Working,Awareness,Working,Awareness,Awareness,Awareness,Awareness,Awareness,Working,,,,"An end user computing engineer works on-site, maintaining hardware and fixing technical problems as quickly as possible. At this level, you will:

• provide first-time resolution by troubleshooting and diagnosing or escalating faults (or both) to service desk managers, incident managers and problem managers to investigate and resolve
• coach associates and share knowledge with team colleagues",,3,,AUTY(3),INFL(3),COMP(3),KNGE(3),BUSS(3)
,,Senior end user computing engineer,Working,Working,Working,Working,Working,Working,Awareness,Working,Working,Working,Working,Working,Working,,,,"A senior end user computing engineer is responsible for managing the team but also gets involved in solving technical problems. At this level, you will:

• manage, coordinate and prioritise tasks to resolve technical incidents as quickly as possible
• work closely with infrastructure, capacity managers and availability managers to fix technical problems and identify and escalate repeat issues to the lead end user computing engineer, the incident or problem manager and software developers, or both.",,4,,AUTY(4),INFL(4),COMP(4),KNGE(4),BUSS(4)
,,Lead end user computing engineer,Working,Practitioner,Working,Practitioner,Practitioner,Working,Working,Working,Working,Practitioner,Working,Practitioner,Practitioner,,,,"A lead end user computing engineer has expert technical understanding and is accountable for vendor and supplier management. At this level, you work with relevant IT operations and other functions, such as technical architecture, to understand lower level productivity, development and feasibility.",,5,,AUTY(5),INFL(5),COMP(5),KNGE(5),BUSS(5)
,,Principal end user computing engineer,Practitioner,Practitioner,Practitioner,Practitioner,Practitioner,Practitioner,Practitioner,Practitioner,Expert,Working,Expert,Expert,,,,,"A principal end user computing engineer owns the strategy roadmap and leads on resourcing, learning and development for their team. At this level, you look at the bigger picture and understand trends in the business.",,6,,AUTY(6),INFL(6),COMP(6),KNGE(6),BUSS(6)
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Infrastructure operations engineer,,Asset and configuration management,Availability and capacity management,Change management,Coding and scripting,Continual service improvement,Incident management,Ownership and initiative,Problem management,Service Management Framework knowledge,Service focus,Technical specialism,Technical understanding,Testing,User focus,,,"An infrastructure operations engineer supports, manages and maintains the core infrastructure that underpins production services.",,,,,,,,
,,Associate infrastructure operations engineer,Awareness,Awareness,Awareness,Awareness,,,,,,,,,,,,,"As a trainee, you will work in an established team and support infrastructure operations engineers in their daily work, under their direction.",,2,,AUTY(2),INFL(2),COMP(2),KNGE(2),BUSS(2)
,,Infrastructure operations engineer,Working,Working,Awareness,Awareness,Awareness,Awareness,Working,Awareness,Awareness,Working,Awareness,Awareness,Awareness,Working,,,"An infrastructure operations engineer is responsible for the preparation and support of IT operations solutions and services - physical or virtual - according to industry and organisational best practices standards, service requirements and key performance indicators (KPIs) throughout the product life cycle. You will do this by:

• creating and maintaining documentation
• erforming all routine tasks according to process and checklists
• monitoring of infrastructure and applications services
• alerting and taking appropriate action",,3,,AUTY(3),INFL(3),COMP(3),KNGE(3),BUSS(3)
,,Senior infrastructure operations engineer,Working,Working,Working,Awareness,Working,Working,Working,Working,Working,Working,Working,Working,Awareness,Working,,,"A senior infrastructure operations engineer acts as second- or third-line support for incidents, problems and changes to solutions and services. You will be expected to:

• provide specialist technical support and assistance to projects ensuring delivery of non-functional requirements and continual service improvement
• be responsible for preparations and support of IT operations solutions and services - physical or virtual - according to industry and organisational best practices standards, service requirements and key performance Indicators (KPIs) throughout the product life cycle
• coach and mentor junior team members, and assist in the provision of first-class services and consistent levels of capability as required by the organisation",,4,,AUTY(4),INFL(4),COMP(4),KNGE(4),BUSS(4)
,,Lead infrastructure operations engineer,Working,Working,Practitioner,Working,Working,Practitioner,Practitioner,Working,Working,Practitioner,Working,Practitioner,Working,Practitioner,,,"A lead infrastructure operations engineer makes sure the service and contractual and regulatory requirements of the organisation are met by managing the following activities:

• operational support of IT solutions and services
• workload, performance and development of a team of IT operations specialists by building capability to deliver services as required
• third-party provision of IT operations services
• provision of expertise to programmes and projects as well as the development of architectural solutions for IT operations solutions throughout the service product life cycle",,5,,AUTY(5),INFL(5),COMP(5),KNGE(5),BUSS(5)
